code,name,date,area_ha
10628,Médio São Francisco,6/1992,529161.0630174567
10629,Alto São Francisco,6/1992,167177.81066771192
10626,Baixo São Francisco,7/1992,32117.909837536
10627,Submédio São Francisco,7/1992,160666.45159871044
10628,Médio São Francisco,7/1992,533899.4779062247
10629,Alto São Francisco,7/1992,168566.04557034437
10626,Baixo São Francisco,8/1992,34636.95655081755
10627,Submédio São Francisco,8/1992,161395.3321732696
10628,Médio São Francisco,8/1992,540190.3640545302
10629,Alto São Francisco,8/1992,177541.91269820384
10626,Baixo São Francisco,9/1992,33550.43440786107
10627,Submédio São Francisco,9/1992,154918.58284870372
10628,Médio São Francisco,9/1992,486942.48525771056
10629,Alto São Francisco,9/1992,169162.07080411902
10626,Baixo São Francisco,10/1992,35796.85040505455
10627,Submédio São Francisco,10/1992,155153.00136494354
10628,Médio São Francisco,10/1992,511764.6269327796
10629,Alto São Francisco,10/1992,160778.69800453918
10626,Baixo São Francisco,11/1992,34924.15217949967
10627,Submédio São Francisco,11/1992,155193.45616241722
10628,Médio São Francisco,11/1992,464210.847308042
10629,Alto São Francisco,11/1992,159066.132288527
10626,Baixo São Francisco,12/1992,34111.18859901826
10627,Submédio São Francisco,12/1992,144367.9963144082
10628,Médio São Francisco,12/1992,522816.4855625202
10629,Alto São Francisco,12/1992,149877.424018245
10626,Baixo São Francisco,1/1993,37851.456102705866
10627,Submédio São Francisco,1/1993,145220.9854792582
10628,Médio São Francisco,1/1993,499323.1383361254
10629,Alto São Francisco,1/1993,152249.2212353254
10626,Baixo São Francisco,2/1993,37485.31404956795
10627,Submédio São Francisco,2/1993,145733.28854793686
10628,Médio São Francisco,2/1993,533979.9066315655
10629,Alto São Francisco,2/1993,157134.11871812306
10626,Baixo São Francisco,3/1993,35807.522772311306
10627,Submédio São Francisco,3/1993,139756.382831657
10628,Médio São Francisco,3/1993,538936.377044016
10629,Alto São Francisco,3/1993,162615.07000601143
10626,Baixo São Francisco,4/1993,35374.02410341692
10627,Submédio São Francisco,4/1993,142359.08245401655
10628,Médio São Francisco,4/1993,532815.9590214242
10629,Alto São Francisco,4/1993,164786.87247401892
10626,Baixo São Francisco,5/1993,35074.708841048545
10627,Submédio São Francisco,5/1993,142568.01620685097
10628,Médio São Francisco,5/1993,532529.4922013112
10629,Alto São Francisco,5/1993,164461.5306787915
10626,Baixo São Francisco,6/1993,31570.929344526998
10627,Submédio São Francisco,6/1993,145360.70705531232
10628,Médio São Francisco,6/1993,507818.7032722587
10629,Alto São Francisco,6/1993,164121.5102278148
10626,Baixo São Francisco,7/1993,32021.17339487943
10627,Submédio São Francisco,7/1993,148205.09352035305
10628,Médio São Francisco,7/1993,515248.6772371481
10629,Alto São Francisco,7/1993,160864.5496032336
10626,Baixo São Francisco,8/1993,34342.93781498167
10627,Submédio São Francisco,8/1993,148941.8949699955
10628,Médio São Francisco,8/1993,512426.9602481521
10629,Alto São Francisco,8/1993,170931.0582663443
10626,Baixo São Francisco,9/1993,33046.21818973585
10627,Submédio São Francisco,9/1993,148887.49088976128
10628,Médio São Francisco,9/1993,505356.0051714488
10629,Alto São Francisco,9/1993,172209.65965602658
10626,Baixo São Francisco,10/1993,33388.058131175574
10627,Submédio São Francisco,10/1993,148400.35745451247
10628,Médio São Francisco,10/1993,474208.1898927424
10629,Alto São Francisco,10/1993,157740.21019286572
10626,Baixo São Francisco,11/1993,33047.76031640318
10627,Submédio São Francisco,11/1993,145786.7462329107
10628,Médio São Francisco,11/1993,464960.417391397
10629,Alto São Francisco,11/1993,158191.81059422396
10626,Baixo São Francisco,12/1993,33704.4747985616
10627,Submédio São Francisco,12/1993,142296.9191538122
10628,Médio São Francisco,12/1993,438299.5729125521
10629,Alto São Francisco,12/1993,145904.39377551124
10626,Baixo São Francisco,1/1994,34104.92457138927
10627,Submédio São Francisco,1/1994,143365.1496831929
10628,Médio São Francisco,1/1994,474868.4359463324
10629,Alto São Francisco,1/1994,152808.89925447752
10626,Baixo São Francisco,2/1994,31948.67852307277
10627,Submédio São Francisco,2/1994,144869.8696758166
10628,Médio São Francisco,2/1994,513878.852763891
10629,Alto São Francisco,2/1994,159237.9062757292
10626,Baixo São Francisco,3/1994,32612.35652561532
10627,Submédio São Francisco,3/1994,141231.17485158576
10628,Médio São Francisco,3/1994,518250.1236847199
10629,Alto São Francisco,3/1994,157339.70355181748
10626,Baixo São Francisco,4/1994,33481.5470296998
10627,Submédio São Francisco,4/1994,145515.57887115664
10628,Médio São Francisco,4/1994,514286.5959099968
10629,Alto São Francisco,4/1994,161769.7371274235
10626,Baixo São Francisco,5/1994,33166.87115800739
10627,Submédio São Francisco,5/1994,149705.5076548682
10628,Médio São Francisco,5/1994,524954.6866372519
10629,Alto São Francisco,5/1994,164047.38612033226
10626,Baixo São Francisco,6/1994,31516.90420936377
10627,Submédio São Francisco,6/1994,146269.2823375727
10628,Médio São Francisco,6/1994,514096.1096876525
10629,Alto São Francisco,6/1994,166125.59019711407
10626,Baixo São Francisco,7/1994,32336.31456958669
10627,Submédio São Francisco,7/1994,151425.69615738717
10628,Médio São Francisco,7/1994,511098.9128523643
10629,Alto São Francisco,7/1994,165062.79500468692
10626,Baixo São Francisco,8/1994,33426.71545321278
10627,Submédio São Francisco,8/1994,147838.95134608095
10628,Médio São Francisco,8/1994,502175.03155990713
10629,Alto São Francisco,8/1994,160326.30629185797
10626,Baixo São Francisco,9/1994,32004.837688291555
10627,Submédio São Francisco,9/1994,145633.82116637653
10628,Médio São Francisco,9/1994,478770.7005322492
10629,Alto São Francisco,9/1994,159353.00683299926
10626,Baixo São Francisco,10/1994,33678.304952725135
10627,Submédio São Francisco,10/1994,148027.1570339023
10628,Médio São Francisco,10/1994,458877.26666136936
10629,Alto São Francisco,10/1994,156558.76092126846
10626,Baixo São Francisco,11/1994,32487.37245643149
10627,Submédio São Francisco,11/1994,149065.35585358753
10628,Médio São Francisco,11/1994,451252.9564350675
10629,Alto São Francisco,11/1994,155781.49993045683
10626,Baixo São Francisco,12/1994,33035.12976597628
10627,Submédio São Francisco,12/1994,143071.7191474171
10628,Médio São Francisco,12/1994,437955.1605214526
10629,Alto São Francisco,12/1994,143406.06814945966
10626,Baixo São Francisco,1/1995,30042.142263298032
10627,Submédio São Francisco,1/1995,144521.71361065478
10628,Médio São Francisco,1/1995,419234.1942627378
10629,Alto São Francisco,1/1995,150033.02791956702
10626,Baixo São Francisco,2/1995,28579.18192137498
10627,Submédio São Francisco,2/1995,144382.61565008076
10628,Médio São Francisco,2/1995,421451.9214018199
10629,Alto São Francisco,2/1995,155514.5042688297
10626,Baixo São Francisco,3/1995,29766.68757589068
10627,Submédio São Francisco,3/1995,142843.67667498835
10628,Médio São Francisco,3/1995,421824.4494724867
10629,Alto São Francisco,3/1995,155546.90827000016
10626,Baixo São Francisco,4/1995,30420.349212602883
10627,Submédio São Francisco,4/1995,146011.0348474399
10628,Médio São Francisco,4/1995,425994.4449412455
10629,Alto São Francisco,4/1995,159901.24887246103
10626,Baixo São Francisco,5/1995,29362.683014560647
10627,Submédio São Francisco,5/1995,148000.55607733544
10628,Médio São Francisco,5/1995,426119.5974982089
10629,Alto São Francisco,5/1995,160006.29859365468
10626,Baixo São Francisco,6/1995,28911.396925621117
10627,Submédio São Francisco,6/1995,146714.65388508738
10628,Médio São Francisco,6/1995,423277.5133758467
10629,Alto São Francisco,6/1995,161289.9516608663
10626,Baixo São Francisco,7/1995,29302.344168684464
10627,Submédio São Francisco,7/1995,151388.21027185826
10628,Médio São Francisco,7/1995,422349.16775027546
10629,Alto São Francisco,7/1995,161139.4371558293
10626,Baixo São Francisco,8/1995,29840.65518215561
10627,Submédio São Francisco,8/1995,148367.01192893067
10628,Médio São Francisco,8/1995,424725.11084418127
10629,Alto São Francisco,8/1995,164210.99439871602
10626,Baixo São Francisco,9/1995,29710.356738547503
10627,Submédio São Francisco,9/1995,145754.2614428565
10628,Médio São Francisco,9/1995,421744.4473354776
10629,Alto São Francisco,9/1995,162410.28170527233
10626,Baixo São Francisco,10/1995,31095.432647679118
10627,Submédio São Francisco,10/1995,149002.816972916
10628,Médio São Francisco,10/1995,417035.80780003953
10629,Alto São Francisco,10/1995,152310.3228227668
10626,Baixo São Francisco,11/1995,30582.33535775297
10627,Submédio São Francisco,11/1995,146631.77432080524
10628,Médio São Francisco,11/1995,410979.0953081093
10629,Alto São Francisco,11/1995,151113.27358311237
10626,Baixo São Francisco,12/1995,30782.20666385389
10627,Submédio São Francisco,12/1995,145584.5126953942
10628,Médio São Francisco,12/1995,402505.33635582856
10629,Alto São Francisco,12/1995,141301.80741955477
10626,Baixo São Francisco,1/1996,34574.98084618711
10627,Submédio São Francisco,1/1996,142587.40351908
10628,Médio São Francisco,1/1996,402272.3733367448
10629,Alto São Francisco,1/1996,143818.76997161785
10626,Baixo São Francisco,2/1996,33352.59858005479
10627,Submédio São Francisco,2/1996,143287.3194610676
10628,Médio São Francisco,2/1996,403244.9228282364
10629,Alto São Francisco,2/1996,145603.88652939574
10626,Baixo São Francisco,3/1996,32381.22716305677
10627,Submédio São Francisco,3/1996,145114.71385827727
10628,Médio São Francisco,3/1996,402637.7462506832
10629,Alto São Francisco,3/1996,148090.77296940456
10626,Baixo São Francisco,4/1996,31836.34641263922
10627,Submédio São Francisco,4/1996,145686.20953669574
10628,Médio São Francisco,4/1996,403390.7196887342
10629,Alto São Francisco,4/1996,148429.36517013097
10626,Baixo São Francisco,5/1996,32916.185741042354
10627,Submédio São Francisco,5/1996,146912.50894712753
10628,Médio São Francisco,5/1996,403346.9982433544
